timestamp_s,range_m,range_cm
26.440559,5.460000,546.0000
26.488459,5.460000,546.0000
26.536514,5.460000,546.0000
26.599740,5.460000,546.0000
26.648169,5.460000,546.0000
26.696605,5.460000,546.0000
26.759975,5.460000,546.0000
26.807640,5.460000,546.0000
26.856532,5.460000,546.0000
26.920593,5.460000,546.0000
26.968149,5.460000,546.0000
27.016732,5.460000,546.0000
27.080128,5.460000,546.0000
27.127919,5.460000,546.0000
27.175276,5.460000,546.0000
27.223225,5.460000,546.0000
27.287896,5.460000,546.0000
27.335219,5.460000,546.0000
27.383223,5.460000,546.0000
27.448712,5.460000,546.0000
27.496610,5.460000,546.0000
27.544644,5.460000,546.0000
27.592649,5.460000,546.0000
27.656024,5.460000,546.0000
27.703679,5.460000,546.0000
27.752702,5.460000,546.0000
27.816390,5.460000,546.0000
27.864694,5.460000,546.0000
27.928417,5.460000,546.0000
27.976671,5.460000,546.0000
28.024722,5.460000,546.0000
28.072117,5.460000,546.0000
28.135727,5.460000,546.0000
28.183314,5.460000,546.0000
28.231386,5.460000,546.0000
28.280072,5.460000,546.0000
28.327320,5.460000,546.0000
28.391439,5.460000,546.0000
28.440374,5.460000,546.0000
28.487705,5.460000,546.0000
28.552728,5.460000,546.0000
28.600710,5.460000,546.0000
28.648520,5.460000,546.0000
28.696742,5.460000,546.0000
28.761099,5.460000,546.0000
28.808403,5.460000,546.0000
28.856331,5.460000,546.0000
28.904734,5.460000,546.0000
28.967953,5.460000,546.0000
29.016751,5.460000,546.0000
29.064768,5.460000,546.0000
29.128007,5.460000,546.0000
29.175402,5.460000,546.0000
29.223468,5.460000,546.0000
29.288014,5.460000,546.0000
29.335500,5.460000,546.0000
29.383479,5.460000,546.0000
29.448493,5.460000,546.0000
29.496162,5.460000,546.0000
29.544823,5.460000,546.0000
29.592632,5.460000,546.0000
29.656831,5.460000,546.0000
29.704459,5.460000,546.0000
29.752656,5.460000,546.0000
29.815935,5.460000,546.0000
29.864792,5.460000,546.0000
29.928272,5.460000,546.0000
29.976553,5.460000,546.0000
30.024334,5.460000,546.0000
30.088904,5.460000,546.0000
30.135902,5.460000,546.0000
30.183634,5.460000,546.0000
30.231661,5.460000,546.0000
30.279991,5.460000,546.0000
30.343607,5.460000,546.0000
30.391501,5.460000,546.0000
30.439985,5.460000,546.0000
30.488809,5.460000,546.0000
30.552644,5.460000,546.0000
30.600508,5.460000,546.0000
30.648955,5.460000,546.0000
30.696916,5.460000,546.0000
30.761176,5.460000,546.0000
30.808401,5.460000,546.0000
30.873046,5.460000,546.0000
30.921061,5.460000,546.0000
30.968376,5.460000,546.0000
31.016167,5.460000,546.0000
31.080725,5.460000,546.0000
31.128114,5.460000,546.0000
31.175678,5.460000,546.0000
31.223670,5.460000,546.0000
31.288086,5.460000,546.0000
31.335782,5.460000,546.0000
31.383791,5.460000,546.0000
31.432320,5.460000,546.0000
31.497205,5.460000,546.0000
31.544416,5.460000,546.0000
31.593055,5.460000,546.0000
31.657083,5.460000,546.0000
31.705113,5.460000,546.0000
31.752136,5.460000,546.0000
31.817119,5.460000,546.0000
31.864757,5.460000,546.0000
31.913108,5.460000,546.0000
31.976884,5.460000,546.0000
32.025125,5.460000,546.0000
32.088855,5.460000,546.0000
32.136248,5.460000,546.0000
32.183772,5.460000,546.0000
32.231856,5.460000,546.0000
32.280100,5.460000,546.0000
32.327841,5.460000,546.0000
32.392338,5.460000,546.0000
32.441137,5.460000,546.0000
32.505233,5.460000,546.0000
32.552691,5.460000,546.0000
32.600988,5.460000,546.0000
32.649315,5.460000,546.0000
32.712894,5.460000,546.0000
32.760580,5.460000,546.0000
32.808171,5.460000,546.0000
32.873299,5.460000,546.0000
32.920781,5.460000,546.0000
32.968764,5.460000,546.0000
33.016612,5.460000,546.0000
33.081251,5.460000,546.0000
33.128543,5.460000,546.0000
33.175940,5.460000,546.0000
33.223911,5.460000,546.0000
33.288558,5.460000,546.0000
33.336019,5.460000,546.0000
33.383861,5.460000,546.0000
33.433329,5.460000,546.0000
33.497262,5.460000,546.0000
33.544823,5.460000,546.0000
33.593241,5.460000,546.0000
33.657130,5.460000,546.0000
33.705315,5.460000,546.0000
33.753046,5.460000,546.0000
33.817357,5.460000,546.0000
33.865352,5.460000,546.0000
33.913115,5.460000,546.0000
33.976786,5.460000,546.0000
34.024865,5.460000,546.0000
34.073375,5.460000,546.0000
34.136332,5.460000,546.0000
34.183970,5.460000,546.0000
34.232025,5.460000,546.0000
34.280324,5.460000,546.0000
34.344075,5.460000,546.0000
34.392461,5.460000,546.0000
34.441037,5.460000,546.0000
34.505047,5.460000,546.0000
34.553191,5.460000,546.0000
34.601488,5.460000,546.0000
34.665309,5.460000,546.0000
34.713408,5.460000,546.0000
34.761171,5.460000,546.0000
34.809412,5.460000,546.0000
34.873431,5.460000,546.0000
34.921425,5.460000,546.0000
34.968367,5.460000,546.0000
35.033255,5.460000,546.0000
35.081239,5.460000,546.0000
35.128624,5.460000,546.0000
35.192158,5.460000,546.0000
35.240218,5.460000,546.0000
35.288753,5.460000,546.0000
35.352239,5.460000,546.0000
35.400140,5.460000,546.0000
35.449528,5.460000,546.0000
35.497016,5.460000,546.0000
35.561502,5.460000,546.0000
35.608966,5.460000,546.0000
35.656600,5.460000,546.0000
35.721215,5.460000,546.0000
35.769511,5.460000,546.0000
35.816605,5.460000,546.0000
35.880929,5.460000,546.0000
35.928954,5.460000,546.0000
35.976959,5.460000,546.0000
36.025561,5.460000,546.0000
36.089352,5.460000,546.0000
36.136518,5.460000,546.0000
36.184320,5.460000,546.0000
36.232289,5.460000,546.0000
36.296758,5.460000,546.0000
36.344289,5.460000,546.0000
36.408618,5.460000,546.0000
36.457670,5.460000,546.0000
36.504856,5.460000,546.0000
36.568904,5.460000,546.0000
36.617688,5.460000,546.0000
36.665586,5.460000,546.0000
36.729730,5.460000,546.0000
36.777017,5.460000,546.0000
36.825768,5.460000,546.0000
36.888854,5.460000,546.0000
36.937540,5.460000,546.0000
36.985732,5.460000,546.0000
37.032905,5.460000,546.0000
37.097742,5.460000,546.0000
37.144793,5.460000,546.0000
37.192352,5.460000,546.0000
37.240523,5.460000,546.0000
37.304804,5.460000,546.0000
37.352480,5.460000,546.0000
37.400498,5.460000,546.0000
37.465836,5.460000,546.0000
37.513574,5.460000,546.0000
37.561638,5.460000,546.0000
37.625091,5.460000,546.0000
37.673808,5.460000,546.0000
37.737636,5.460000,546.0000
37.785840,5.460000,546.0000
37.833840,5.460000,546.0000
37.881199,5.460000,546.0000
37.929867,5.460000,546.0000
37.993465,5.460000,546.0000
38.041825,5.460000,546.0000
38.089829,5.460000,546.0000
38.137027,5.460000,546.0000
38.200377,5.460000,546.0000
38.248801,5.460000,546.0000
38.297028,5.460000,546.0000
38.360524,5.460000,546.0000
38.408952,5.460000,546.0000
38.472931,5.460000,546.0000
38.521878,5.460000,546.0000
38.569297,5.460000,546.0000
38.617893,5.460000,546.0000
38.681074,5.460000,546.0000
38.729924,5.460000,546.0000
38.777906,5.460000,546.0000
38.841321,5.460000,546.0000
38.889926,5.460000,546.0000
38.937923,5.460000,546.0000
39.001120,5.460000,546.0000
39.049673,5.460000,546.0000
39.097685,5.460000,546.0000
39.144772,5.460000,546.0000
39.208671,5.460000,546.0000
39.257573,5.460000,546.0000
39.304763,5.460000,546.0000
39.368566,5.460000,546.0000
39.416774,5.460000,546.0000
39.465985,5.460000,546.0000
39.513964,5.460000,546.0000
39.577941,5.460000,546.0000
39.625367,5.460000,546.0000
39.673636,5.460000,546.0000
39.737143,5.460000,546.0000
39.785058,5.460000,546.0000
39.834001,5.460000,546.0000
39.898015,5.460000,546.0000
39.946055,5.460000,546.0000
40.009064,5.460000,546.0000
40.056917,5.460000,546.0000
40.105382,5.460000,546.0000
40.152854,5.460000,546.0000
40.216701,5.460000,546.0000
40.265219,5.460000,546.0000
40.312887,5.460000,546.0000
40.360645,5.460000,546.0000
40.426030,5.460000,546.0000
40.473512,5.460000,546.0000
40.521844,5.460000,546.0000
40.569042,5.460000,546.0000
40.633834,5.460000,546.0000
40.680853,5.460000,546.0000
40.728782,5.460000,546.0000
40.777317,5.460000,546.0000
40.842055,5.460000,546.0000
40.889529,5.460000,546.0000
40.953471,5.460000,546.0000
41.001497,5.460000,546.0000
41.050166,5.460000,546.0000
41.097426,5.460000,546.0000
41.160890,5.460000,546.0000
41.208805,5.460000,546.0000
41.257454,5.460000,546.0000
41.304944,5.460000,546.0000
